ID,Age at admission,Gender,Governorates,Country,Previous School,Scholarship,SAT,EEE,GPA,Performance,Attempted hours,Earned hours
200803125,21,M,Beirut,Lebanon,"Instit. et Ecole St. Elie,Beir",Yes,930.0,427.0,62.33,Fail,0,0
200900712,20,M,Beirut,Lebanon,Beirut Modern School,Yes,1010.0,0.0,47.5,Fail,0,0
201104788,19,F,Mount Lebanon,Lebanon,"My New College, Amrousieh",Yes,920.0,0.0,74.25,Pass,15,9
201002007,19,M,Mount Lebanon,Lebanon,L'Athenee de Beyrouth,Yes,1150.0,0.0,74.5,Pass,12,9
201001089,19,F,Mount Lebanon,Lebanon,"Lycee Georges Pompidou,Dubai",Yes,1120.0,0.0,55.2,Fail,15,15
201002008,19,M,Beirut,Lebanon,"Al Ahlieh School, Tartous",Yes,970.0,0.0,62.0,Fail,15,12
201100225,19,M,Beirut,Lebanon,"Lycee Georges Pompidou,Dubai",Yes,1130.0,0.0,81.6,Pass,15,15
201100357,18,F,Mount Lebanon,Lebanon,"St.Famille,Fanar",Yes,1320.0,0.0,86.4,Pass,15,15
201101000,19,F,Mount Lebanon,Lebanon,College Notre Dame de Nazareth,Yes,1240.0,0.0,85.4,Pass,15,15
201100999,18,F,Beirut,Lebanon,The Int'l School of Choueifat ,Yes,1180.0,0.0,85.6,Pass,15,15
201105412,18,M,Mount Lebanon,Lebanon,"College St. Joseph,Antoura",Yes,1190.0,0.0,69.75,Fail,15,9
201101036,18,M,Beirut,Lebanon,College Notre Dame de Jamhour,Yes,1270.0,0.0,68.25,Fail,15,12
201100996,18,M,Beirut,Lebanon,The Int'l School of Choueifat ,Yes,1250.0,0.0,77.4,Pass,15,15
201100879,18,F,Mount Lebanon,Lebanon,L'Athenee de Beyrouth,Yes,1100.0,0.0,66.75,Fail,15,15
201100995,18,M,Mount Lebanon,Lebanon,The Int'l School of Choueifat ,Yes,1300.0,0.0,89.4,Pass,15,15
201100877,18,M,Mount Lebanon,Lebanon,L'Athenee de Beyrouth,Yes,1190.0,0.0,77.25,Pass,15,15
201100937,18,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1170.0,0.0,71.0,Pass,15,9
201100934,18,F,Mount Lebanon,Lebanon,"Int'l College, Ras Beirut",Yes,1330.0,0.0,89.4,Pass,15,15
201100932,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1220.0,0.0,80.8,Pass,15,15
201100392,19,F,Mount Lebanon,Lebanon,"College Louise Wegmann, Beirut",Yes,1170.0,0.0,80.25,Pass,12,12
201100921,18,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1390.0,0.0,89.0,Pass,15,15
201100378,18,F,Beirut,Lebanon,"College Louise Wegmann, Beirut",Yes,1180.0,0.0,76.0,Pass,16,9
201100856,18,F,Beirut,Lebanon,"Col.Prot.Francais, Beirut",Yes,1220.0,0.0,86.2,Pass,15,15
201100373,18,F,Beirut,Lebanon,"College Louise Wegmann, Beirut",Yes,1150.0,0.0,85.8,Pass,15,15
201101077,18,F,Beirut,Lebanon,College Notre Dame de Jamhour,Yes,1150.0,0.0,71.8,Pass,12,12
201100282,18,F,Mount Lebanon,Lebanon,"Col.Melkart,Hazmieh",Yes,1200.0,0.0,85.8,Pass,15,15
201101081,18,M,Mount Lebanon,Lebanon,College Notre Dame de Jamhour,Yes,1330.0,0.0,82.6,Pass,16,16
201100603,18,F,Mount Lebanon,Lebanon,"Col.Melkart,Hazmieh",Yes,1200.0,0.0,84.4,Pass,15,15
201100369,18,F,Mount Lebanon,Lebanon,Jesus & Mary School,Yes,1160.0,0.0,82.2,Pass,15,15
201101059,18,F,Mount Lebanon,Lebanon,College Notre Dame de Jamhour,Yes,1240.0,0.0,90.0,Pass,15,15
201100764,17,F,Beirut,Lebanon,German School - Beirut,Yes,1050.0,0.0,75.38,Pass,16,16
201102084,18,F,Beirut,Lebanon,Institu.Ste Anne S.de Besancon,Yes,1050.0,0.0,74.8,Pass,15,15
201100745,18,F,Mount Lebanon,Lebanon,Coll. des Freres Mont la Salle,Yes,1030.0,0.0,76.2,Pass,15,15
201100765,18,M,Beirut,Lebanon,"Lycee Franco Libanais, N.Ibr",Yes,1250.0,0.0,74.6,Pass,15,15
201100836,19,F,Mount Lebanon,Lebanon,Al Iman School,Yes,1130.0,0.0,80.8,Pass,15,15
201100825,18,F,Beirut,Lebanon,College Notre Dame de Nazareth,Yes,1170.0,0.0,84.4,Pass,15,15
201100472,18,F,Beirut,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1240.0,0.0,84.4,Pass,15,15
201100712,19,M,Mount Lebanon,Lebanon,College M.&H.Arslanian/Antelia,Yes,1140.0,0.0,82.6,Pass,16,16
201100519,18,F,Beirut,Lebanon,"The Int'l S.of Choueifat,Amman",Yes,1240.0,0.0,79.6,Pass,15,12
201100725,18,F,Mount Lebanon,Lebanon,College Notre Dame de Jamhour,Yes,1190.0,0.0,80.8,Pass,15,15
201101122,18,M,Mount Lebanon,Lebanon,"Amjad School, Choueifat",Yes,1260.0,0.0,78.8,Pass,12,12
201101183,18,M,Mount Lebanon,Lebanon,St.Joseph Sch.Cornet Shahwan,Yes,1250.0,0.0,83.8,Pass,15,15
201100580,18,F,Mount Lebanon,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1300.0,0.0,88.2,Pass,12,12
201100704,18,F,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1210.0,0.0,87.8,Pass,15,15
201101853,18,M,Beirut,Lebanon,"Rafic Hariri High School,Sidon",Yes,1140.0,0.0,83.63,Pass,16,13
201103953,18,M,Mount Lebanon,Lebanon,St.Joseph Sch.Cornet Shahwan,Yes,1260.0,0.0,75.6,Pass,15,15
